date,name,site_rank,IMDB,director,country,genre,user_review,review_count
22/04/2019,Avengers: Endgame,1,8.4,Anthony RussoJoe Russo,US,Sci-Fi,7.1,12640
22/04/2019,Avengers: Endgame,1,8.4,Anthony RussoJoe Russo,US,Adventure,7.1,12640
22/04/2019,Avengers: Endgame,1,8.4,Anthony RussoJoe Russo,US,Action,7.1,12640
22/04/2019,Avengers: Endgame,1,8.4,Anthony RussoJoe Russo,US,Fantasy,7.1,12640
23/04/2018,Avengers: Infinity War,3,8.5,Anthony RussoJoe Russo,US,Sci-Fi,6.2,21830
23/04/2018,Avengers: Infinity War,3,8.5,Anthony RussoJoe Russo,US,Adventure,6.2,21830
23/04/2018,Avengers: Infinity War,3,8.5,Anthony RussoJoe Russo,US,Action,6.2,21830
23/04/2018,Avengers: Infinity War,3,8.5,Anthony RussoJoe Russo,US,Fantasy,6.2,21830
26/11/2018,Aquaman,4,7,James Wan,USAustralia,Sci-Fi,6.7,8924
26/11/2018,Aquaman,4,7,James Wan,USAustralia,Adventure,6.7,8924
26/11/2018,Aquaman,4,7,James Wan,USAustralia,Action,6.7,8924
26/11/2018,Aquaman,4,7,James Wan,USAustralia,Fantasy,6.7,8924
26/06/2019,Spider-Man: Far from Home,5,7.5,Jon Watts,US,Sci-Fi,6.1,6514
26/06/2019,Spider-Man: Far from Home,5,7.5,Jon Watts,US,Adventure,6.1,6514
26/06/2019,Spider-Man: Far from Home,5,7.5,Jon Watts,US,Action,6.1,6514
08/05/2019,Aladdin,6,7,Guy Ritchie,US,Comedy,6.7,4979
08/05/2019,Aladdin,6,7,Guy Ritchie,US,Adventure,6.7,4979
08/05/2019,Aladdin,6,7,Guy Ritchie,US,Romance,6.7,4979
08/05/2019,Aladdin,6,7,Guy Ritchie,US,Fantasy,6.7,4979
08/05/2019,Aladdin,6,7,Guy Ritchie,US,Family,6.7,4979
27/02/2019,Captain Marvel,7,6.9,Anna BodenRyan Fleck,US,Sci-Fi,6.3,5240
27/02/2019,Captain Marvel,7,6.9,Anna BodenRyan Fleck,US,Adventure,6.3,5240
27/02/2019,Captain Marvel,7,6.9,Anna BodenRyan Fleck,US,Action,6.3,5240
09/07/2019,The Lion King,8,6.9,Jon Favreau,US,Drama,6.5,3406
09/07/2019,The Lion King,8,6.9,Jon Favreau,US,Animation,6.5,3406
09/07/2019,The Lion King,8,6.9,Jon Favreau,US,Adventure,6.5,3406
09/07/2019,The Lion King,8,6.9,Jon Favreau,US,Family,6.5,3406
13/07/2019,Fast & Furious Presents: Hobbs & Shaw,9,6.5,David Leitch,"US,UK",Adventure,6.2,5627
13/07/2019,Fast & Furious Presents: Hobbs & Shaw,9,6.5,David Leitch,"US,UK",Action,6.2,5627
01/10/2018,Venom,10,6.7,Ruben Fleischer,US,Thriller,6.9,6483
01/10/2018,Venom,10,6.7,Ruben Fleischer,US,Sci-Fi,6.9,6483
01/10/2018,Venom,10,6.7,Ruben Fleischer,US,Action,6.9,6483
01/10/2018,Venom,10,6.7,Ruben Fleischer,US,Horror,6.9,6483
15/05/2019,John Wick: Chapter 3 - Parabellum,11,7.5,Chad Stahelski,US,Thriller,6.4,5739
15/05/2019,John Wick: Chapter 3 - Parabellum,11,7.5,Chad Stahelski,US,Action,6.4,5739
15/05/2019,John Wick: Chapter 3 - Parabellum,11,7.5,Chad Stahelski,US,Crime,6.4,5739
01/05/2018,Deadpool 2,12,7.7,David Leitch,US,Comedy,5.7,12658
01/05/2018,Deadpool 2,12,7.7,David Leitch,US,Sci-Fi,5.7,12658
01/05/2018,Deadpool 2,12,7.7,David Leitch,US,Adventure,5.7,12658
